Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sri Lanka,LKA,1970,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,6700000
Sri Lanka,LKA,1969,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,5850000
Sri Lanka,LKA,1968,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,3180000
Sri Lanka,LKA,1967,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,3590000
Sri Lanka,LKA,1966,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,2880000
Sri Lanka,LKA,1965,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,1280000
Sri Lanka,LKA,1964,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,1000000
Sri Lanka,LKA,1963,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,780000
Sri Lanka,LKA,1962,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,800000
Sri Lanka,LKA,1961,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,540000
Sri Lanka,LKA,1960,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,560000
Sri Lanka,LKA,2018,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,20525823310.8954
Sri Lanka,LKA,2017,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,19257216969.969
Sri Lanka,LKA,2016,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,17574857527.6972
Sri Lanka,LKA,2015,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,17070484075.4396
Sri Lanka,LKA,2014,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,16890223281.0926
Sri Lanka,LKA,2013,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,15211113446.7873
Sri Lanka,LKA,2012,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,13715697344.4321
Sri Lanka,LKA,2011,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,14109340000
Sri Lanka,LKA,2010,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,11423280000
Sri Lanka,LKA,2009,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,9098600000
Sri Lanka,LKA,2008,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,10337900000
Sri Lanka,LKA,2007,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,9864030000
Sri Lanka,LKA,2006,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,8819109000
Sri Lanka,LKA,2005,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,7962722760
Sri Lanka,LKA,2004,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,7440560000
Sri Lanka,LKA,2003,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,6713650000
Sri Lanka,LKA,2002,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,6042770000
Sri Lanka,LKA,2001,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,6280210000
Sri Lanka,LKA,2000,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,6527293894.3677
Sri Lanka,LKA,1999,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,5727243918.9489
Sri Lanka,LKA,1998,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,5938737619.0813
Sri Lanka,LKA,1997,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,5747241361.1478
Sri Lanka,LKA,1996,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,5035863898.0339
Sri Lanka,LKA,1995,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,4840468453.4548
Sri Lanka,LKA,1994,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,4106095131.7934
Sri Lanka,LKA,1993,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,3531401889.7871
Sri Lanka,LKA,1992,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,2990883277.9729
Sri Lanka,LKA,1991,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,2604460009.2172
Sri Lanka,LKA,1990,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,2385689104.3817
Sri Lanka,LKA,1989,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1909262361.736
